cell,transformer_draw_peak_kw,transformer_export_peak_kw,reverse_flow_share,losses_share,voltage_p99_pu,over_voltage_share,coincidence_factor,peak_to_average,max_ramp_kw,flex_synchrony,community_settlement_chf,curtailed_share,self_consumption_share,cost_per_kwh_spread_chf,tenant_cost_per_kwh_chf,pv_only_cost_per_kwh_chf,pv_battery_cost_per_kwh_chf,large_flex_cost_per_kwh_chf,owner_cost_per_kwh_chf,tenant_import_share,valid_share,projection_mae_kw,tenant_cost_per_load_kwh_chf,pv_only_cost_per_load_kwh_chf,pv_battery_cost_per_load_kwh_chf,large_flex_cost_per_load_kwh_chf,controller_parameters,fair_leg_base_tenant_cost_per_load_kwh_chf,tenant_cost_delta_vs_fair_leg_base_chf_per_load_kwh,fair_leg_base_pv_only_cost_per_load_kwh_chf,pv_only_cost_delta_vs_fair_leg_base_chf_per_load_kwh,fair_leg_base_pv_battery_cost_per_load_kwh_chf,pv_battery_cost_delta_vs_fair_leg_base_chf_per_load_kwh,fair_leg_base_large_flex_cost_per_load_kwh_chf,large_flex_cost_delta_vs_fair_leg_base_chf_per_load_kwh,community_settlement_delta_vs_fair_leg_base_chf
fair_leg/base,7.895064353942871,65.30447006225586,0.42172619700431824,0.07587650194764137,1.0834184527397155,0.07427553171291948,0.76828992664814,3.6697418093681335,15.280342102050781,0.5959129840135574,294.27959671020506,0.014975325716659427,0.3009249654324,11.350012180208166,0.2231269288334566,-0.5001674061066931,-11.065539381280825,-2.2405326700424797,-2.0274145314851917,0.6554691106081009,1.0,9.667925926493126e-09,0.22312692925333977,-0.2628165028989315,-0.42060927003622056,-0.14825490079820156,"{""charge_after_hour"": 0.0, ""export_cap_kw"": 1000.0}",0.22312692925333977,0.0,-0.2628165028989315,0.0,-0.42060927003622056,0.0,-0.14825490079820156,0.0,0.0
fair_leg/selected_family,8.257627487182617,59.19897594451904,0.4591517969965935,0.06639544665813446,1.0725477397441865,0.060295269498601554,0.7236104637384415,3.215523564815521,6.8549394607543945,0.7468153804540634,304.8592559814453,0.003831876631011255,0.2943426266808939,917.5662209562058,0.2234635377472154,-0.49418798284395493,-917.0708204202731,-2.6090427379332257,-2.1755069867346846,0.6604387670755386,1.0,1.2791362946629192e-08,0.22346353754401208,-0.25963674634695055,-0.4311556302011013,-0.15543077125912533,"{""policy_id"": 31.0, ""voltage_enabled"": 1.0}",0.22312692925333977,0.0003366082906723078,-0.2628165028989315,0.003179756551980939,-0.42060927003622056,-0.010546360164880753,-0.14825490079820156,-0.007175870460923772,10.579659271240246
voltage_price/tuned_base,8.229351043701172,65.2349946975708,0.45900298804044726,0.06849754191935062,1.0784512758255005,0.06557800699956715,0.7644030272960662,3.577468717098236,47.61278610229492,0.7340895891189575,300.2222785949707,0.0065441328100860115,0.2938791555710153,9.646056102590002,0.03587834950456445,-0.571171705531959,-9.609052658686547,-1.3872604758885534,-1.5974331786235665,0.6427724748849869,1.0,1.112636254241295e-08,0.03587834959616885,-0.3022331379354,-0.35245466604828835,-0.1025691115995869,"{""charge_after_hour"": 11.0, ""export_cap_kw"": 1000.0}",0.22312692925333977,-0.18724857965717093,-0.2628165028989315,-0.03941663503646853,-0.42060927003622056,0.06815460398793222,-0.14825490079820156,0.04568578919861466,5.942681884765648
voltage_price/selected_family,8.257627487182617,59.19897594451904,0.4591517969965935,0.06639544665813446,1.0725477397441865,0.060295269498601554,0.7236104637384415,3.215523564815521,6.8549394607543945,0.7468153804540634,304.8592582702637,0.003831876631011255,0.2943426266808939,713.8516719948557,0.03549998181117339,-0.5643708330922677,-713.7148859665892,-1.7276532188332911,-1.7760759237065944,0.6604387670755386,1.0,1.2791362946629192e-08,0.0354999818282522,-0.29866222739219667,-0.3579897455871105,-0.10539235090836882,"{""policy_id"": 31.0, ""voltage_enabled"": 1.0}",0.22312692925333977,-0.18762694742508756,-0.2628165028989315,-0.035845724493265174,-0.42060927003622056,0.06261952444911006,-0.14825490079820156,0.042862549889832735,10.57966156005864
