run,split,seed_index,connection,household,settlement_chf
fair_leg,validation,6,12,large_flex,53.851341247558594
fair_leg,validation,6,13,large_flex,37.77117156982422
fair_leg,validation,6,14,large_flex,69.71150207519531
fair_leg,validation,6,15,pv_battery,53.81438064575195
fair_leg,validation,6,16,pv_battery,63.955726623535156
fair_leg,validation,6,17,large_flex,50.06874465942383
fair_leg,validation,7,0,tenant,-13.148189544677734
fair_leg,validation,7,1,tenant,-15.002120971679688
fair_leg,validation,7,2,tenant,-12.61210823059082
fair_leg,validation,7,3,tenant,-12.488616943359375
fair_leg,validation,7,4,tenant,-15.4027738571167
fair_leg,validation,7,5,tenant,-13.81828498840332
fair_leg,validation,7,6,pv_only,-2.0691275596618652
fair_leg,validation,7,7,pv_battery,-4.133074760437012
fair_leg,validation,7,8,pv_battery,48.90842819213867
fair_leg,validation,7,9,pv_battery,68.0145263671875
fair_leg,validation,7,10,pv_only,8.132102966308594
fair_leg,validation,7,11,pv_battery,28.115589141845703
fair_leg,validation,7,12,large_flex,27.50092887878418
fair_leg,validation,7,13,large_flex,-0.8465442657470703
fair_leg,validation,7,14,large_flex,64.38491821289062
fair_leg,validation,7,15,pv_battery,55.40626907348633
fair_leg,validation,7,16,pv_battery,53.1003532409668
fair_leg,validation,7,17,large_flex,-2.481853485107422
export_30kw_0.05,validation,0,0,tenant,-11.895967483520508
export_30kw_0.05,validation,0,1,tenant,-12.251434326171875
export_30kw_0.05,validation,0,2,tenant,-13.010387420654297
export_30kw_0.05,validation,0,3,tenant,-9.639840126037598
export_30kw_0.05,validation,0,4,tenant,-11.833178520202637
export_30kw_0.05,validation,0,5,tenant,-12.132758140563965
export_30kw_0.05,validation,0,6,pv_only,0.7004626989364624
export_30kw_0.05,validation,0,7,pv_battery,25.866779327392578
export_30kw_0.05,validation,0,8,pv_battery,38.07950210571289
export_30kw_0.05,validation,0,9,pv_battery,45.865806579589844
export_30kw_0.05,validation,0,10,pv_only,-5.869442939758301
export_30kw_0.05,validation,0,11,pv_battery,41.41692352294922
export_30kw_0.05,validation,0,12,large_flex,-17.682327270507812
export_30kw_0.05,validation,0,13,large_flex,36.75066375732422
export_30kw_0.05,validation,0,14,large_flex,37.95204162597656
export_30kw_0.05,validation,0,15,pv_battery,31.980667114257812
export_30kw_0.05,validation,0,16,pv_battery,44.38487243652344
export_30kw_0.05,validation,0,17,large_flex,10.086265563964844
export_30kw_0.05,validation,1,0,tenant,-11.790063858032227
export_30kw_0.05,validation,1,1,tenant,-13.436494827270508
export_30kw_0.05,validation,1,2,tenant,-11.606086730957031
export_30kw_0.05,validation,1,3,tenant,-12.71766471862793
export_30kw_0.05,validation,1,4,tenant,-12.269943237304688
export_30kw_0.05,validation,1,5,tenant,-10.502735137939453
export_30kw_0.05,validation,1,6,pv_only,33.89949035644531
export_30kw_0.05,validation,1,7,pv_battery,7.8274245262146
export_30kw_0.05,validation,1,8,pv_battery,8.235210418701172
export_30kw_0.05,validation,1,9,pv_battery,16.93752098083496
export_30kw_0.05,validation,1,10,pv_only,15.415356636047363
export_30kw_0.05,validation,1,11,pv_battery,52.2767448425293
export_30kw_0.05,validation,1,12,large_flex,-19.283615112304688
export_30kw_0.05,validation,1,13,large_flex,30.136547088623047
export_30kw_0.05,validation,1,14,large_flex,46.65133285522461
export_30kw_0.05,validation,1,15,pv_battery,36.68903350830078
export_30kw_0.05,validation,1,16,pv_battery,0.8353842496871948
export_30kw_0.05,validation,1,17,large_flex,49.536624908447266
export_30kw_0.05,validation,2,0,tenant,-8.218246459960938
export_30kw_0.05,validation,2,1,tenant,-9.407673835754395
export_30kw_0.05,validation,2,2,tenant,-9.361064910888672
export_30kw_0.05,validation,2,3,tenant,-10.095807075500488
export_30kw_0.05,validation,2,4,tenant,-8.613330841064453
export_30kw_0.05,validation,2,5,tenant,-9.455324172973633
export_30kw_0.05,validation,2,6,pv_only,11.761736869812012
export_30kw_0.05,validation,2,7,pv_battery,34.174476623535156
export_30kw_0.05,validation,2,8,pv_battery,37.012939453125
export_30kw_0.05,validation,2,9,pv_battery,44.76179504394531
export_30kw_0.05,validation,2,10,pv_only,36.791526794433594
export_30kw_0.05,validation,2,11,pv_battery,5.505815505981445
export_30kw_0.05,validation,2,12,large_flex,39.75303649902344
export_30kw_0.05,validation,2,13,large_flex,41.49584197998047
export_30kw_0.05,validation,2,14,large_flex,30.137409210205078
export_30kw_0.05,validation,2,15,pv_battery,46.8066291809082
export_30kw_0.05,validation,2,16,pv_battery,22.49648094177246
export_30kw_0.05,validation,2,17,large_flex,18.56713104248047
export_30kw_0.05,validation,3,0,tenant,-7.661369323730469
export_30kw_0.05,validation,3,1,tenant,-6.631399154663086
export_30kw_0.05,validation,3,2,tenant,-9.669853210449219
export_30kw_0.05,validation,3,3,tenant,-9.434794425964355
export_30kw_0.05,validation,3,4,tenant,-9.387682914733887
export_30kw_0.05,validation,3,5,tenant,-9.235040664672852
export_30kw_0.05,validation,3,6,pv_only,11.493274688720703
export_30kw_0.05,validation,3,7,pv_battery,52.169315338134766
export_30kw_0.05,validation,3,8,pv_battery,45.00591278076172
export_30kw_0.05,validation,3,9,pv_battery,48.47341537475586
export_30kw_0.05,validation,3,10,pv_only,27.94740867614746
export_30kw_0.05,validation,3,11,pv_battery,32.840904235839844
export_30kw_0.05,validation,3,12,large_flex,33.2841682434082
