tariff,controller,candidate,mean_return_chf,gap_chf,selected
fair_leg,family,0,29.47547149658203,4.465850830078125,False
fair_leg,family,1,33.357444763183594,0.5838775634765625,False
fair_leg,family,2,33.46783447265625,0.47348785400390625,False
fair_leg,family,3,33.80622100830078,0.135101318359375,False
fair_leg,family,4,33.941322326660156,0.0,True
fair_leg,family,5,33.85593795776367,0.08538436889648438,False
fair_leg,family,6,33.880615234375,0.06070709228515625,False
fair_leg,family,7,33.9044075012207,0.036914825439453125,False
fair_leg,family,8,33.65455627441406,0.28676605224609375,False
fair_leg,family,9,33.35605239868164,0.5852699279785156,False
fair_leg,family,10,33.143714904785156,0.797607421875,False
fair_leg,family,11,24.95708465576172,8.984237670898438,False
fair_leg,family,12,14.35501480102539,19.586307525634766,False
fair_leg,family,13,33.661781311035156,0.279541015625,False
fair_leg,family,14,33.57775115966797,0.3635711669921875,False
fair_leg,family,15,33.772705078125,0.16861724853515625,False
fair_leg,family,16,33.50457763671875,0.43674468994140625,False
fair_leg,family,17,24.540069580078125,9.401252746582031,False
fair_leg,family,18,33.79658126831055,0.14474105834960938,False
fair_leg,family,19,32.59770202636719,1.3436203002929688,False
fair_leg,family,20,32.934627532958984,1.0066947937011719,False
fair_leg,family,21,24.219385147094727,9.72193717956543,False
fair_leg,family,22,33.77261734008789,0.16870498657226562,False
fair_leg,family,23,33.73081588745117,0.21050643920898438,False
fair_leg,family,24,33.65892028808594,0.28240203857421875,False
fair_leg,family,25,33.83416748046875,0.10715484619140625,False
fair_leg,family,26,33.80042266845703,0.140899658203125,False
fair_leg,family,27,33.718658447265625,0.22266387939453125,False
fair_leg,family,28,33.847076416015625,0.09424591064453125,False
fair_leg,family,29,33.820533752441406,0.12078857421875,False
fair_leg,family,30,33.69621658325195,0.24510574340820312,False
fair_leg,family,31,33.90327453613281,0.03804779052734375,False
fair_leg,base,0,33.09879684448242,0.6063270568847656,False
fair_leg,base,1,33.21614074707031,0.488983154296875,False
fair_leg,base,2,33.54277801513672,0.16234588623046875,False
fair_leg,base,3,33.70512390136719,0.0,True
fair_leg,base,4,31.530014038085938,2.17510986328125,False
fair_leg,base,5,31.912405014038086,1.7927188873291016,False
fair_leg,base,6,32.751197814941406,0.9539260864257812,False
fair_leg,base,7,33.265052795410156,0.44007110595703125,False
fair_leg,base,8,21.0051326751709,12.699991226196289,False
fair_leg,base,9,22.88595962524414,10.819164276123047,False
fair_leg,base,10,24.472827911376953,9.232295989990234,False
fair_leg,base,11,25.027450561523438,8.67767333984375,False
fair_leg,base,12,10.930481910705566,22.774642944335938,False
fair_leg,base,13,12.914741516113281,20.790382385253906,False
fair_leg,base,14,13.948583602905273,19.756540298461914,False
fair_leg,base,15,14.316263198852539,19.38886070251465,False
stress_export_default,family,0,16.78347396850586,8.903871536254883,False
stress_export_default,family,1,23.39206886291504,2.295276641845703,False
stress_export_default,family,2,25.53961944580078,0.14772605895996094,False
stress_export_default,family,3,25.615253448486328,0.07209205627441406,False
stress_export_default,family,4,25.13221549987793,0.5551300048828125,False
stress_export_default,family,5,25.605083465576172,0.08226203918457031,False
stress_export_default,family,6,25.548370361328125,0.1389751434326172,False
stress_export_default,family,7,24.751121520996094,0.9362239837646484,False
stress_export_default,family,8,25.219820022583008,0.4675254821777344,False
stress_export_default,family,9,24.342647552490234,1.3446979522705078,False
stress_export_default,family,10,25.37555694580078,0.31178855895996094,False
stress_export_default,family,11,23.49369239807129,2.193653106689453,False
stress_export_default,family,12,14.35501480102539,11.332330703735352,False
stress_export_default,family,13,25.556659698486328,0.13068580627441406,False
stress_export_default,family,14,25.21959114074707,0.4677543640136719,False
stress_export_default,family,15,25.395492553710938,0.2918529510498047,False
stress_export_default,family,16,25.14661407470703,0.5407314300537109,False
stress_export_default,family,17,23.2034969329834,2.4838485717773438,False
stress_export_default,family,18,25.25193977355957,0.4354057312011719,False
stress_export_default,family,19,20.83255386352539,4.854791641235352,False
stress_export_default,family,20,23.92050552368164,1.7668399810791016,False
stress_export_default,family,21,22.507911682128906,3.179433822631836,False
stress_export_default,family,22,25.65523910522461,0.03210639953613281,False
stress_export_default,family,23,25.687345504760742,0.0,True
stress_export_default,family,24,25.62061309814453,0.06673240661621094,False
stress_export_default,family,25,25.611610412597656,0.07573509216308594,False
stress_export_default,family,26,25.614179611206055,0.0731658935546875,False
stress_export_default,family,27,25.52646255493164,0.16088294982910156,False
stress_export_default,family,28,25.584245681762695,0.10309982299804688,False
stress_export_default,family,29,25.644134521484375,0.04321098327636719,False
stress_export_default,family,30,25.4092960357666,0.2780494689941406,False
stress_export_default,family,31,25.33755111694336,0.3497943878173828,False
stress_export_default,base,0,23.137405395507812,1.8464546203613281,False
stress_export_default,base,1,24.48543930053711,0.49842071533203125,False
stress_export_default,base,2,24.98386001586914,0.0,True
stress_export_default,base,3,24.631000518798828,0.3528594970703125,False
stress_export_default,base,4,22.333646774291992,2.6502132415771484,False
stress_export_default,base,5,23.857484817504883,1.1263751983642578,False
stress_export_default,base,6,24.626493453979492,0.35736656188964844,False
stress_export_default,base,7,24.464038848876953,0.5198211669921875,False
stress_export_default,base,8,19.41010093688965,5.573759078979492,False
stress_export_default,base,9,21.508264541625977,3.475595474243164,False
stress_export_default,base,10,22.880746841430664,2.1031131744384766,False
stress_export_default,base,11,22.98581314086914,1.998046875,False
stress_export_default,base,12,10.930481910705566,14.053378105163574,False
stress_export_default,base,13,12.914741516113281,12.06911849975586,False
stress_export_default,base,14,13.948583602905273,11.035276412963867,False
stress_export_default,base,15,14.316263198852539,10.667596817016602,False
