run,split,seed_index,transformer_draw_peak_kw,transformer_export_peak_kw,reverse_flow_share,losses_share,voltage_p99_pu,over_voltage_share,coincidence_factor,peak_to_average,max_ramp_kw,flex_synchrony,community_settlement_chf,curtailed_share,self_consumption_share,cost_per_kwh_spread_chf,tenant_cost_per_kwh_chf,pv_only_cost_per_kwh_chf,pv_battery_cost_per_kwh_chf,large_flex_cost_per_kwh_chf,owner_cost_per_kwh_chf,tenant_import_share,valid_share,projection_mae_kw,tenant_cost_per_load_kwh_chf,pv_only_cost_per_load_kwh_chf,pv_battery_cost_per_load_kwh_chf,large_flex_cost_per_load_kwh_chf
fair_leg,validation,0,9.313583374023438,54.869651794433594,0.4538690447807312,0.06210913881659508,1.0709128379821777,0.04432957246899605,0.7206472158432007,3.4720160961151123,9.06515121459961,0.7289032340049744,217.5500030517578,2.9625357456097845e-06,0.31834262872643504,236.48269679460822,0.22367967611165446,0.07873132873205436,-236.25901711849656,-0.39118941325476975,-1.0816300972531405,0.5744374990463257,1.0,1.4243322077334142e-08,0.22367967665195465,0.04855801537632942,-0.4838070273399353,-0.08118685334920883
fair_leg,validation,1,11.265754699707031,55.3288459777832,0.4538690447807312,0.05558989942073822,1.0742322206497192,0.03688909858465195,0.7226750254631042,3.404343605041504,12.54415512084961,0.6868581771850586,207.42254638671875,0.004495234694331884,0.3123367121697419,2.0388451741690448,0.22282654046133832,-0.5438445372186861,-1.8160186337077067,-0.8170186709157615,-0.956061518462611,0.5551574230194092,1.0,1.1517956366446924e-08,0.2228265404701233,-0.2954859137535095,-0.2459792196750641,-0.13643692433834076
fair_leg,validation,2,8.357048034667969,63.91143798828125,0.4583333432674408,0.07267779856920242,1.0860764980316162,0.06508458405733109,0.7175585031509399,3.4761831760406494,13.731956481933594,0.7810922861099243,313.8447265625,0.005979200359433889,0.3063645665152852,7.005576810716677,0.2234496116943148,-0.6170595528584818,-6.782127199022362,-2.4001559680607842,-2.2855667211418815,0.6870425343513489,1.0,1.3657087905016851e-08,0.22344961762428284,-0.3108172118663788,-0.3913382589817047,-0.1640029400587082
fair_leg,validation,3,10.8795166015625,65.89698791503906,0.4613095223903656,0.06990781426429749,1.0802587270736694,0.06688596308231354,0.7821764349937439,3.3975706100463867,7.249355316162109,0.7046463489532471,315.7178955078125,0.00040239832014776766,0.2770586491071071,9.700101014073825,0.2240567850015396,-0.5090934648043264,-9.476044229072285,-0.6905521966664736,-1.620538973046413,0.6057490110397339,1.0,1.3813694188513637e-08,0.22405678033828735,-0.25610455870628357,-0.5516723394393921,-0.11195119470357895
fair_leg,validation,4,8.304595947265625,65.35292053222656,0.4613095223903656,0.07082883268594742,1.0731757879257202,0.06649436056613922,0.735454261302948,3.5014700889587402,8.854389190673828,0.6798648834228516,314.7493896484375,0.0014927437296137214,0.28289329941077357,16.418160997608528,0.22395144623820026,-0.465620786887417,-16.194209551370328,-1.5246875343250839,-2.060781893301337,0.6634195446968079,1.0,1.3429511724893928e-08,0.22395144402980804,-0.25750866532325745,-0.46708256006240845,-0.16273042559623718
fair_leg,validation,5,7.798671722412109,64.9862289428711,0.4613095223903656,0.068800188601017,1.0711778402328491,0.06359649449586868,0.7886191606521606,3.658446788787842,7.977485656738281,0.7714499831199646,307.93035888671875,0.004457427188754082,0.2998382391310559,31.904330060138705,0.22242546683370676,-0.6843121650140901,-31.681904593305,-3.2110003699852507,-2.7710168103356034,0.7261978983879089,1.0,1.3738856274869704e-08,0.2224254608154297,-0.3485358655452728,-0.3869800865650177,-0.1678912490606308
fair_leg,validation,6,6.5174102783203125,74.84149932861328,0.46875,0.09761825948953629,1.1064611673355103,0.11763784289360046,0.8064528107643127,3.3988900184631348,12.939453125,0.729735255241394,444.4566955566406,0.0014676327118650079,0.25153547734935644,193909651.8247596,0.2227699240338291,-0.1929455494980417,-193909651.6019897,-6.71232475185165,-4.250899753042713,0.7505674958229065,1.0,1.5564673105927795e-08,0.22276993095874786,-0.11119063943624496,-0.5991700291633606,-0.252429723739624
fair_leg,validation,7,12.586116790771484,66.27559661865234,0.4583333432674408,0.06901329755783081,1.0778279304504395,0.06069862097501755,0.8366031646728516,3.8467018604278564,9.138107299804688,0.6557057499885559,261.5604248046875,0.00012226327089592814,0.29460342372191706,7.266917920761432,0.2223273162370774,-0.0724935644532132,-7.0445906045243545,-0.48700561629455463,-1.1434206027463174,0.5521478056907654,1.0,1.2857829467805004e-08,0.222327321767807,-0.040235571563243866,-0.5115283131599426,-0.09803661704063416
export_30kw_0.05,validation,0,8.34798812866211,51.40256881713867,0.4538690447807312,0.05672469735145569,1.0645365715026855,0.03446115180850029,0.6820122599601746,3.3465375900268555,10.967254638671875,0.6961769461631775,218.7686767578125,0.00042298968764953315,0.335306414259098,223.10431262087948,0.18788797605436708,0.05042273580711245,-222.91642464482513,-0.557170234872031,-1.2926955236804394,0.6270813941955566,1.0,1.3178953928161263e-08,0.1878879815340042,0.03109852224588394,-0.45648428797721863,-0.07936470210552216
export_30kw_0.05,validation,1,9.319305419921875,51.61142349243164,0.455357164144516,0.050920695066452026,1.0678529739379883,0.03125,0.6729258298873901,3.24536395072937,11.618614196777344,0.655188798904419,206.8340606689453,0.0048973714001476765,0.3307360127591955,2.57265629648649,0.18941989179020613,-0.514035662812949,-2.3832364046962837,-0.9734019572996822,-1.084401879116851,0.5972897410392761,1.0,1.2384603564896679e-08,0.18941989541053772,-0.27928993105888367,-0.24171030521392822,-0.12660236656665802
