cell,transformer_draw_peak_kw,transformer_export_peak_kw,reverse_flow_share,losses_share,voltage_p99_pu,over_voltage_share,coincidence_factor,peak_to_average,max_ramp_kw,flex_synchrony,community_settlement_chf,curtailed_share,self_consumption_share,cost_per_kwh_spread_chf,tenant_cost_per_kwh_chf,pv_only_cost_per_kwh_chf,pv_battery_cost_per_kwh_chf,large_flex_cost_per_kwh_chf,owner_cost_per_kwh_chf,tenant_import_share,valid_share,projection_mae_kw,tenant_cost_per_load_kwh_chf,pv_only_cost_per_load_kwh_chf,pv_battery_cost_per_load_kwh_chf,large_flex_cost_per_load_kwh_chf,controller_parameters,fair_leg_base_tenant_cost_per_load_kwh_chf,tenant_cost_delta_vs_fair_leg_base_chf_per_load_kwh,fair_leg_base_pv_only_cost_per_load_kwh_chf,pv_only_cost_delta_vs_fair_leg_base_chf_per_load_kwh,fair_leg_base_pv_battery_cost_per_load_kwh_chf,pv_battery_cost_delta_vs_fair_leg_base_chf_per_load_kwh,fair_leg_base_large_flex_cost_per_load_kwh_chf,large_flex_cost_delta_vs_fair_leg_base_chf_per_load_kwh,community_settlement_delta_vs_fair_leg_base_chf
fair_leg/base,7.895064353942871,65.30447006225586,0.42172619700431824,0.07587650194764137,1.0834184527397155,0.07427553171291948,0.76828992664814,3.6697418093681335,15.280342102050781,0.5959129840135574,294.27959671020506,0.014975325716659427,0.3009249654324,11.350012180208166,0.2231269288334566,-0.5001674061066931,-11.065539381280825,-2.2405326700424797,-2.0274145314851917,0.6554691106081009,1.0,9.667925926493126e-09,0.22312692925333977,-0.2628165028989315,-0.42060927003622056,-0.14825490079820156,"{""charge_after_hour"": 0.0, ""export_cap_kw"": 1000.0}",0.22312692925333977,0.0,-0.2628165028989315,0.0,-0.42060927003622056,0.0,-0.14825490079820156,0.0,0.0
fair_leg/selected_family,8.243632316589355,61.091399574279784,0.4595238208770752,0.06650157272815704,1.0744037210941315,0.059496396617032585,0.7314092665910721,3.347621130943298,11.729550170898438,0.6790523141622543,304.0563690185547,0.004189846530789509,0.2971568583834699,29302417.9928213,0.22346281116115457,-0.4943459214436666,-29302417.437978745,-3.1789096706257096,-2.2750574880528,0.6683935463428498,1.0,1.2920724890008727e-08,0.22346280962228776,-0.25972018018364906,-0.43057889491319656,-0.1547949224244803,"{""policy_id"": 5.0, ""voltage_enabled"": 1.0}",0.22312692925333977,0.0003358803689479939,-0.2628165028989315,0.003096322715282429,-0.42060927003622056,-0.009969624876976002,-0.14825490079820156,-0.006540021626278758,9.77677230834962
voltage_price/tuned_base,8.229351043701172,65.2349946975708,0.45900298804044726,0.06849754191935062,1.0784512758255005,0.06557800699956715,0.7644030272960662,3.577468717098236,47.61278610229492,0.7340895891189575,300.2222785949707,0.0065441328100860115,0.2938791555710153,9.646056102590002,0.03587834950456445,-0.571171705531959,-9.609052658686547,-1.3872604758885534,-1.5974331786235665,0.6427724748849869,1.0,1.112636254241295e-08,0.03587834959616885,-0.3022331379354,-0.35245466604828835,-0.1025691115995869,"{""charge_after_hour"": 11.0, ""export_cap_kw"": 1000.0}",0.22312692925333977,-0.18724857965717093,-0.2628165028989315,-0.03941663503646853,-0.42060927003622056,0.06815460398793222,-0.14825490079820156,0.04568578919861466,5.942681884765648
voltage_price/selected_family,8.243632316589355,61.091399574279784,0.4595238208770752,0.06650157272815704,1.0744037210941315,0.059496396617032585,0.7314092665910721,3.347621130943298,11.729550170898438,0.6790523141622543,304.0563690185547,0.004189846530789509,0.2971568583834699,23383484.80456721,0.03546486573313282,-0.5657549544110403,-23383484.627597943,-2.0999118956596075,-1.8563783304647223,0.6683935463428498,1.0,1.2920724890008727e-08,0.03546486542036291,-0.29938431158661843,-0.3570612005889416,-0.10482022250071169,"{""policy_id"": 5.0, ""voltage_enabled"": 1.0}",0.22312692925333977,-0.18766206383297684,-0.2628165028989315,-0.03656780868768694,-0.42060927003622056,0.06354806944727898,-0.14825490079820156,0.04343467829748987,9.77677230834962
