run,split,seed_index,connection,household,settlement_chf,load_kwh,cost_per_load_kwh_chf
fair_leg,validation,0,0,tenant,-14.142488479614258,63.256629943847656,0.2235732227563858
fair_leg,validation,0,1,tenant,-14.498015403747559,65.01628112792969,0.2229904979467392
fair_leg,validation,0,2,tenant,-15.257240295410156,68.85164642333984,0.2215958833694458
fair_leg,validation,0,3,tenant,-11.886449813842773,53.06748580932617,0.2239874005317688
fair_leg,validation,0,4,tenant,-14.080035209655762,62.4814567565918,0.22534747421741486
fair_leg,validation,0,5,tenant,-14.37942886352539,63.9527702331543,0.22484436631202698
fair_leg,validation,0,6,pv_only,-0.42701876163482666,82.06903839111328,0.005203181877732277
fair_leg,validation,0,7,pv_battery,27.12466049194336,86.5527114868164,-0.3133889138698578
fair_leg,validation,0,8,pv_battery,40.22810363769531,80.56747436523438,-0.4993091821670532
fair_leg,validation,0,9,pv_battery,48.95081329345703,84.03340148925781,-0.5825161933898926
fair_leg,validation,0,10,pv_only,-7.6439433097839355,84.14382934570312,0.0908438190817833
fair_leg,validation,0,11,pv_battery,44.27345275878906,92.43013000488281,-0.4789937734603882
fair_leg,validation,0,12,large_flex,-20.361536026000977,230.11929321289062,0.08848255127668381
fair_leg,validation,0,13,large_flex,38.831668853759766,208.2650146484375,-0.18645314872264862
fair_leg,validation,0,14,large_flex,40.85259246826172,207.8992919921875,-0.19650177657604218
fair_leg,validation,0,15,pv_battery,33.27674865722656,72.11612701416016,-0.46143287420272827
fair_leg,validation,0,16,pv_battery,47.363433837890625,82.88166809082031,-0.5714589357376099
fair_leg,validation,0,17,large_flex,9.32461929321289,199.26376342773438,-0.04679539054632187
fair_leg,validation,1,0,tenant,-13.915787696838379,62.609100341796875,0.22226457297801971
fair_leg,validation,1,1,tenant,-15.562396049499512,70.07598114013672,0.22207897901535034
fair_leg,validation,1,2,tenant,-13.732006072998047,62.185245513916016,0.22082406282424927
fair_leg,validation,1,3,tenant,-14.843624114990234,66.8858413696289,0.2219248265028
fair_leg,validation,1,4,tenant,-14.395733833312988,63.95261001586914,0.22510001063346863
fair_leg,validation,1,5,tenant,-12.628546714782715,56.10432815551758,0.22509047389030457
fair_leg,validation,1,6,pv_only,36.29503631591797,80.04058837890625,-0.4534578323364258
fair_leg,validation,1,7,pv_battery,6.582920074462891,87.52914428710938,-0.07520835846662521
fair_leg,validation,1,8,pv_battery,7.810283660888672,82.78816223144531,-0.09434060007333755
fair_leg,validation,1,9,pv_battery,16.427093505859375,87.03486633300781,-0.1887415498495102
fair_leg,validation,1,10,pv_only,15.879602432250977,96.53172302246094,-0.1645013839006424
fair_leg,validation,1,11,pv_battery,56.25209045410156,86.29106140136719,-0.6518880128860474
fair_leg,validation,1,12,large_flex,-21.5903377532959,209.00732421875,0.10329941660165787
fair_leg,validation,1,13,large_flex,32.299598693847656,215.46754455566406,-0.14990463852882385
fair_leg,validation,1,14,large_flex,50.99781036376953,205.94480895996094,-0.2476285994052887
fair_leg,validation,1,15,pv_battery,39.14556884765625,79.95680236816406,-0.4895840287208557
fair_leg,validation,1,16,pv_battery,-1.2477891445159912,84.4518051147461,0.014775155112147331
fair_leg,validation,1,17,large_flex,53.648773193359375,215.06895446777344,-0.24944926798343658
fair_leg,validation,2,0,tenant,-13.320418357849121,59.15785217285156,0.2251674383878708
fair_leg,validation,2,1,tenant,-14.510509490966797,65.2469482421875,0.2223936766386032
fair_leg,validation,2,2,tenant,-14.46400260925293,64.70036315917969,0.2235535979270935
fair_leg,validation,2,3,tenant,-15.198542594909668,67.90006256103516,0.2238369882106781
fair_leg,validation,2,4,tenant,-13.71603775024414,61.69146728515625,0.22233274579048157
fair_leg,validation,2,5,tenant,-14.557985305786133,65.1369857788086,0.22349786758422852
fair_leg,validation,2,6,pv_only,10.83641529083252,79.59252166748047,-0.13614864647388458
fair_leg,validation,2,7,pv_battery,36.97282409667969,82.44232940673828,-0.4484690725803375
fair_leg,validation,2,8,pv_battery,39.992958068847656,88.63339233398438,-0.4512176811695099
fair_leg,validation,2,9,pv_battery,49.95439147949219,83.41477966308594,-0.5988674163818359
fair_leg,validation,2,10,pv_only,41.463958740234375,88.67477416992188,-0.4675958752632141
fair_leg,validation,2,11,pv_battery,1.2664555311203003,81.03462219238281,-0.015628566965460777
fair_leg,validation,2,12,large_flex,46.47046661376953,239.3982696533203,-0.19411365687847137
fair_leg,validation,2,13,large_flex,47.06441116333008,214.72161865234375,-0.21918807923793793
fair_leg,validation,2,14,large_flex,32.79606246948242,230.87008666992188,-0.1420542299747467
fair_leg,validation,2,15,pv_battery,52.34211349487305,95.50543212890625,-0.5480535626411438
fair_leg,validation,2,16,pv_battery,22.372547149658203,87.44998931884766,-0.2558324635028839
fair_leg,validation,2,17,large_flex,18.079599380493164,195.54653930664062,-0.09245677292346954
fair_leg,validation,3,0,tenant,-13.18414306640625,58.59726333618164,0.22499583661556244
fair_leg,validation,3,1,tenant,-12.154464721679688,53.91218948364258,0.2254493534564972
fair_leg,validation,3,2,tenant,-15.192878723144531,67.8530502319336,0.22390852868556976
fair_leg,validation,3,3,tenant,-14.957902908325195,67.3963623046875,0.22193916141986847
fair_leg,validation,3,4,tenant,-14.911029815673828,66.50166320800781,0.22422051429748535
fair_leg,validation,3,5,tenant,-14.758279800415039,65.81591033935547,0.22423578798770905
fair_leg,validation,3,6,pv_only,10.38094711303711,76.09394073486328,-0.13642267882823944
fair_leg,validation,3,7,pv_battery,59.65156555175781,78.63816833496094,-0.7585572004318237
fair_leg,validation,3,8,pv_battery,50.466026306152344,79.33293914794922,-0.6361294388771057
fair_leg,validation,3,9,pv_battery,55.463478088378906,88.96942901611328,-0.6233992576599121
fair_leg,validation,3,10,pv_only,30.832223892211914,84.82926940917969,-0.3634621500968933
fair_leg,validation,3,11,pv_battery,35.869285583496094,75.20507049560547,-0.4769532382488251
fair_leg,validation,3,12,large_flex,36.932525634765625,215.21572875976562,-0.17160707712173462
fair_leg,validation,3,13,large_flex,54.637969970703125,211.53811645507812,-0.25828900933265686
fair_leg,validation,3,14,large_flex,4.537549018859863,209.2581024169922,-0.02168397791683674
fair_leg,validation,3,15,pv_battery,56.508522033691406,76.23827362060547,-0.741209089756012
fair_leg,validation,3,16,pv_battery,6.021183967590332,80.12486267089844,-0.07514748722314835
fair_leg,validation,3,17,large_flex,-0.4246702194213867,218.67652893066406,0.0019420060561969876
fair_leg,validation,4,0,tenant,-14.851258277893066,66.33662414550781,0.2238772213459015
fair_leg,validation,4,1,tenant,-13.49183464050293,60.2364501953125,0.22398127615451813
fair_leg,validation,4,2,tenant,-15.142931938171387,67.95689392089844,0.2228313833475113
fair_leg,validation,4,3,tenant,-13.96247673034668,62.11300277709961,0.22479166090488434
fair_leg,validation,4,4,tenant,-14.477272033691406,64.41056060791016,0.22476547956466675
fair_leg,validation,4,5,tenant,-13.87173843383789,62.05414581298828,0.2235424667596817
fair_leg,validation,4,6,pv_only,5.866170406341553,85.09870910644531,-0.06893376260995865
fair_leg,validation,4,7,pv_battery,28.57707405090332,72.64412689208984,-0.3933844268321991
fair_leg,validation,4,8,pv_battery,47.250877380371094,87.39320373535156,-0.5406697988510132
fair_leg,validation,4,9,pv_battery,38.54743957519531,70.40589141845703,-0.5475030541419983
fair_leg,validation,4,10,pv_only,35.549652099609375,75.73416137695312,-0.46940094232559204
fair_leg,validation,4,11,pv_battery,8.68371868133545,78.40057373046875,-0.11076091974973679
fair_leg,validation,4,12,large_flex,60.00409698486328,216.10569763183594,-0.277660995721817
fair_leg,validation,4,13,large_flex,7.502187728881836,195.37832641601562,-0.03839823603630066
fair_leg,validation,4,14,large_flex,25.549930572509766,225.06564331054688,-0.11352214217185974
fair_leg,validation,4,15,pv_battery,56.79823684692383,85.2679214477539,-0.6661151051521301
fair_leg,validation,4,16,pv_battery,39.163780212402344,74.80137634277344,-0.5235702395439148
fair_leg,validation,4,17,large_flex,47.053802490234375,224.4448699951172,-0.2096450924873352
fair_leg,validation,5,0,tenant,-13.662338256835938,60.97385025024414,0.2240687608718872
fair_leg,validation,5,1,tenant,-14.26252555847168,64.33060455322266,0.22170673310756683
fair_leg,validation,5,2,tenant,-14.772125244140625,66.09261322021484,0.22350656986236572
fair_leg,validation,5,3,tenant,-11.741202354431152,53.613704681396484,0.2189963012933731
fair_leg,validation,5,4,tenant,-14.457818031311035,64.44416046142578,0.2243463695049286
fair_leg,validation,5,5,tenant,-14.39208698272705,64.99906921386719,0.22141993045806885
fair_leg,validation,5,6,pv_only,24.59178352355957,88.69921112060547,-0.2772493362426758
fair_leg,validation,5,7,pv_battery,56.88173294067383,89.49531555175781,-0.6355835795402527
fair_leg,validation,5,8,pv_battery,23.427452087402344,76.76554870605469,-0.30518200993537903
fair_leg,validation,5,9,pv_battery,12.415855407714844,75.94456481933594,-0.16348573565483093
fair_leg,validation,5,10,pv_only,38.71412658691406,92.93466186523438,-0.4165736138820648
fair_leg,validation,5,11,pv_battery,13.883807182312012,83.95079040527344,-0.16538038849830627
fair_leg,validation,5,12,large_flex,37.98698425292969,202.6458282470703,-0.1874549239873886
fair_leg,validation,5,13,large_flex,40.9410400390625,210.4336700439453,-0.19455552101135254
fair_leg,validation,5,14,large_flex,7.614447116851807,209.6605987548828,-0.036317985504865646
fair_leg,validation,5,15,pv_battery,24.384193420410156,80.13607025146484,-0.30428484082221985
fair_leg,validation,5,16,pv_battery,59.990142822265625,87.2297592163086,-0.6877257227897644
fair_leg,validation,5,17,large_flex,50.38691711425781,192.84347534179688,-0.2612839341163635
fair_leg,validation,6,0,tenant,-14.451448440551758,64.91349792480469,0.22262628376483917
fair_leg,validation,6,1,tenant,-14.130009651184082,63.532413482666016,0.2224062830209732
fair_leg,validation,6,2,tenant,-13.224257469177246,59.08380889892578,0.2238219976425171
fair_leg,validation,6,3,tenant,-14.126720428466797,63.11469650268555,0.2238263189792633
fair_leg,validation,6,4,tenant,-13.563596725463867,60.66307830810547,0.2235889434814453
fair_leg,validation,6,5,tenant,-13.713150024414062,62.213218688964844,0.220421701669693
fair_leg,validation,6,6,pv_only,-1.9705381393432617,81.61064910888672,0.024145586416125298
fair_leg,validation,6,7,pv_battery,43.325340270996094,86.4236831665039,-0.5013132691383362
fair_leg,validation,6,8,pv_battery,37.89403533935547,78.5420150756836,-0.4824680984020233
fair_leg,validation,6,9,pv_battery,53.66650390625,87.92286682128906,-0.6103813052177429
fair_leg,validation,6,10,pv_only,19.844181060791016,79.1370849609375,-0.25075703859329224
fair_leg,validation,6,11,pv_battery,45.73350524902344,83.1150894165039,-0.5502431988716125
fair_leg,validation,6,12,large_flex,53.851341247558594,191.13111877441406,-0.28175079822540283
fair_leg,validation,6,13,large_flex,37.77117156982422,216.6252899169922,-0.17436173558235168
fair_leg,validation,6,14,large_flex,69.71150207519531,199.98873901367188,-0.3485770523548126
fair_leg,validation,6,15,pv_battery,53.81438064575195,80.76419067382812,-0.6663151383399963
fair_leg,validation,6,16,pv_battery,63.955726623535156,81.23686218261719,-0.7872747778892517
fair_leg,validation,6,17,large_flex,50.06874465942383,229.7265167236328,-0.21794943511486053
fair_leg,validation,7,0,tenant,-13.148189544677734,59.53289031982422,0.2208559215068817
fair_leg,validation,7,1,tenant,-15.002120971679688,67.27177429199219,0.2230077087879181
fair_leg,validation,7,2,tenant,-12.61210823059082,55.9511604309082,0.22541286051273346
fair_leg,validation,7,3,tenant,-12.488616943359375,56.29400634765625,0.22184614837169647
fair_leg,validation,7,4,tenant,-15.4027738571167,69.76871490478516,0.220769003033638
fair_leg,validation,7,5,tenant,-13.81828498840332,62.13036346435547,0.22240781784057617
fair_leg,validation,7,6,pv_only,-2.0691275596618652,78.40585327148438,0.026389971375465393
fair_leg,validation,7,7,pv_battery,-4.133074760437012,88.22730255126953,0.04684578254818916
fair_leg,validation,7,8,pv_battery,48.90842819213867,81.65179443359375,-0.598987877368927
fair_leg,validation,7,9,pv_battery,68.0145263671875,80.47213745117188,-0.8451935648918152
fair_leg,validation,7,10,pv_only,8.132102966308594,72.28105163574219,-0.1125066950917244
fair_leg,validation,7,11,pv_battery,28.115589141845703,78.58164978027344,-0.3577883839607239
fair_leg,validation,7,12,large_flex,27.50092887878418,227.33767700195312,-0.12096951901912689
fair_leg,validation,7,13,large_flex,-0.8465442657470703,218.08721923828125,0.0038816845044493675
fair_leg,validation,7,14,large_flex,64.38491821289062,224.78585815429688,-0.28642770648002625
fair_leg,validation,7,15,pv_battery,55.40626907348633,81.4078598022461,-0.6806009411811829
fair_leg,validation,7,16,pv_battery,53.1003532409668,77.24151611328125,-0.6874587535858154
fair_leg,validation,7,17,large_flex,-2.481853485107422,233.0989532470703,0.010647195391356945
fair_leg_passthrough,validation,0,0,tenant,-14.142488479614258,63.256629943847656,0.2235732227563858
fair_leg_passthrough,validation,0,1,tenant,-14.498015403747559,65.01628112792969,0.2229904979467392
fair_leg_passthrough,validation,0,2,tenant,-15.257240295410156,68.85164642333984,0.2215958833694458
fair_leg_passthrough,validation,0,3,tenant,-11.886449813842773,53.06748580932617,0.2239874005317688
fair_leg_passthrough,validation,0,4,tenant,-14.080035209655762,62.4814567565918,0.22534747421741486
fair_leg_passthrough,validation,0,5,tenant,-14.37942886352539,63.9527702331543,0.22484436631202698
fair_leg_passthrough,validation,0,6,pv_only,-0.42701876163482666,82.06903839111328,0.005203181877732277
