step,hour,agent_id,pq_id,direction,requested_delta_kw,baseline_action_kw,counterfactual_action_kw,baseline_settlement_chf,counterfactual_settlement_chf,settlement_delta_chf,realized_energy_delta_kwh,baseline_transformer_kw,counterfactual_transformer_kw,transformer_delta_kw,baseline_export_stress_kw,counterfactual_export_stress_kw,baseline_import_stress_kw,counterfactual_import_stress_kw
0,7.75,0,6,-1,-0.09999990463256836,2.647958755493164,2.5479588508605957,0.08346827328205109,0.08004879951477051,-0.0034194737672805786,-0.02499997615814209,-27.729034423828125,-27.63509750366211,0.09393692016601562,27.729034423828125,27.63509750366211,0.0,0.0
0,7.75,0,6,1,0.0,2.647958755493164,2.647958755493164,0.08346827328205109,0.08346827328205109,0.0,0.0,-27.729034423828125,-27.729034423828125,0.0,27.729034423828125,27.729034423828125,0.0,0.0
0,7.75,1,7,-1,-0.10000002384185791,1.0809687376022339,0.980968713760376,0.03269236534833908,0.029270656406879425,-0.0034217089414596558,-0.025000005960464478,-27.729034423828125,-27.63509750366211,0.09393692016601562,27.729034423828125,27.63509750366211,0.0,0.0
0,7.75,1,7,1,0.10000002384185791,1.0809687376022339,1.1809687614440918,0.03269236534833908,0.03611377626657486,0.003421410918235779,0.025000005960464478,-27.729034423828125,-27.822017669677734,-0.09298324584960938,27.729034423828125,27.822017669677734,0.0,0.0
0,7.75,2,8,-1,-0.09999990463256836,4.78244686126709,4.6824469566345215,0.13691970705986023,0.13350258767604828,-0.0034171193838119507,-0.024999916553497314,-27.729034423828125,-27.635574340820312,0.0934600830078125,27.729034423828125,27.635574340820312,0.0,0.0
0,7.75,2,8,1,0.09999990463256836,4.78244686126709,4.882446765899658,0.13691970705986023,0.1403365582227707,0.0034168511629104614,0.02499997615814209,-27.729034423828125,-27.822017669677734,-0.09298324584960938,27.729034423828125,27.822017669677734,0.0,0.0
0,7.75,3,9,-1,-0.09999990463256836,4.576514720916748,4.47651481628418,0.13691970705986023,0.13350258767604828,-0.0034171193838119507,-0.02499997615814209,-27.729034423828125,-27.635574340820312,0.0934600830078125,27.729034423828125,27.635574340820312,0.0,0.0
0,7.75,3,9,1,0.09999990463256836,4.576514720916748,4.676514625549316,0.13691970705986023,0.1403365582227707,0.0034168511629104614,0.02499997615814209,-27.729034423828125,-27.82154083251953,-0.09250640869140625,27.729034423828125,27.82154083251953,0.0,0.0
0,7.75,4,10,-1,-0.09999990463256836,2.1361701488494873,2.036170244216919,0.06438486278057098,0.06096455082297325,-0.0034203119575977325,-0.02499997615814209,-27.729034423828125,-27.631282806396484,0.09775161743164062,27.729034423828125,27.631282806396484,0.0,0.0
0,7.75,4,10,1,0.0,2.1361701488494873,2.1361701488494873,0.06438486278057098,0.06438486278057098,0.0,0.0,-27.729034423828125,-27.729034423828125,0.0,27.729034423828125,27.729034423828125,0.0,0.0
0,7.75,5,11,-1,-0.09999990463256836,2.686964750289917,2.5869648456573486,0.07230138778686523,0.06888142973184586,-0.0034199580550193787,-0.02499997615814209,-27.729034423828125,-27.63509750366211,0.09393692016601562,27.729034423828125,27.63509750366211,0.0,0.0
0,7.75,5,11,1,0.09999990463256836,2.686964750289917,2.7869646549224854,0.07230138778686523,0.07572106271982193,0.0034196749329566956,0.02499997615814209,-27.729034423828125,-27.82154083251953,-0.09250640869140625,27.729034423828125,27.82154083251953,0.0,0.0
0,7.75,6,12,-1,-0.09999990463256836,5.434609413146973,5.334609508514404,0.13691970705986023,0.13350258767604828,-0.0034171193838119507,-0.02499997615814209,-27.729034423828125,-27.637958526611328,0.09107589721679688,27.729034423828125,27.637958526611328,0.0,0.0
0,7.75,6,12,1,0.09999990463256836,5.434609413146973,5.534609317779541,0.13691970705986023,0.1403365582227707,0.0034168511629104614,0.02499997615814209,-27.729034423828125,-27.81963348388672,-0.09059906005859375,27.729034423828125,27.81963348388672,0.0,0.0
0,7.75,7,13,-1,-0.09999990463256836,4.662934303283691,4.562934398651123,0.12043195962905884,0.11701411753892899,-0.0034178420901298523,-0.02499997615814209,-27.729034423828125,-27.639389038085938,0.0896453857421875,27.729034423828125,27.639389038085938,0.0,0.0
0,7.75,7,13,1,0.09999990463256836,4.662934303283691,4.76293420791626,0.12043195962905884,0.1238495409488678,0.00341758131980896,0.02499997615814209,-27.729034423828125,-27.818679809570312,-0.0896453857421875,27.729034423828125,27.818679809570312,0.0,0.0
0,7.75,8,14,-1,-0.09999990463256836,5.7046051025390625,5.604605197906494,0.13691970705986023,0.13350258767604828,-0.0034171193838119507,-0.024999916553497314,-27.729034423828125,-27.63986587524414,0.08916854858398438,27.729034423828125,27.63986587524414,0.0,0.0
0,7.75,8,14,1,0.09999990463256836,5.7046051025390625,5.804605007171631,0.13691970705986023,0.14033657312393188,0.0034168660640716553,0.02500009536743164,-27.729034423828125,-27.817726135253906,-0.08869171142578125,27.729034423828125,27.817726135253906,0.0,0.0
0,7.75,9,15,-1,-0.09999999403953552,0.5419447422027588,0.44194474816322327,0.0,-0.005966499447822571,-0.005966499447822571,-0.02499999850988388,-27.729034423828125,-27.6336669921875,0.095367431640625,27.729034423828125,27.6336669921875,0.0,0.0
0,7.75,9,15,1,0.10000002384185791,0.5419447422027588,0.6419447660446167,0.0,0.0034228437580168247,0.0034228437580168247,0.025000005960464478,-27.729034423828125,-27.823448181152344,-0.09441375732421875,27.729034423828125,27.823448181152344,0.0,0.0
0,7.75,10,16,-1,-0.09999990463256836,4.375802516937256,4.2758026123046875,0.13691970705986023,0.13350258767604828,-0.0034171193838119507,-0.024999916553497314,-27.729034423828125,-27.637004852294922,0.09202957153320312,27.729034423828125,27.637004852294922,0.0,0.0
0,7.75,10,16,1,0.09999990463256836,4.375802516937256,4.475802421569824,0.13691970705986023,0.1403365582227707,0.0034168511629104614,0.02499997615814209,-27.729034423828125,-27.82154083251953,-0.09250640869140625,27.729034423828125,27.82154083251953,0.0,0.0
0,7.75,11,17,-1,-0.09999990463256836,2.684638500213623,2.5846385955810547,0.03608383238315582,0.0326622799038887,-0.0034215524792671204,-0.02499997615814209,-27.729034423828125,-27.635574340820312,0.0934600830078125,27.729034423828125,27.635574340820312,0.0,0.0
0,7.75,11,17,1,0.09999990463256836,2.684638500213623,2.7846384048461914,0.03608383238315582,0.03950509428977966,0.0034212619066238403,0.02499997615814209,-27.729034423828125,-27.82154083251953,-0.09250640869140625,27.729034423828125,27.82154083251953,0.0,0.0
