run,split,seed_index,transformer_draw_peak_kw,transformer_export_peak_kw,reverse_flow_share,losses_share,voltage_p99_pu,over_voltage_share,coincidence_factor,peak_to_average,max_ramp_kw,flex_synchrony,community_settlement_chf,curtailed_share,self_consumption_share,cost_per_kwh_spread_chf,tenant_cost_per_kwh_chf,pv_only_cost_per_kwh_chf,pv_battery_cost_per_kwh_chf,large_flex_cost_per_kwh_chf,owner_cost_per_kwh_chf,tenant_import_share,valid_share,projection_mae_kw,tenant_cost_per_load_kwh_chf,pv_only_cost_per_load_kwh_chf,pv_battery_cost_per_load_kwh_chf,large_flex_cost_per_load_kwh_chf
policy_11,response_audit,0,8.685111999511719,39.917945861816406,0.4627976417541504,0.043536897748708725,1.0548293590545654,0.01683897152543068,0.8956894278526306,2.602417469024658,6.5097808837890625,0.5564574003219604,213.45863342285156,0.1717015504837036,0.35159500085676587,481.39741351353064,0.1299570011203588,-0.29837339772310134,-481.26745651241026,-0.6685759704126902,-1.3401179257139109,0.663765549659729,1.0,6.401225771668351e-09,0.12995700538158417,-0.16081926226615906,-0.3169420063495636,-0.0764312595129013
policy_11,response_audit,1,8.824825286865234,37.88900375366211,0.4613095223903656,0.03858921304345131,1.0484124422073364,0.007205513771623373,0.8450775742530823,2.4572107791900635,6.115436553955078,0.5533304214477539,200.81106567382812,0.1986202746629715,0.3418590934684499,5.918646587775376,0.15371541702350108,-0.3425587271980645,-5.764931170751875,-0.6366787300674273,-1.104190985525898,0.6145296096801758,1.0,5.780603995475531e-09,0.15371541678905487,-0.18515567481517792,-0.2942952811717987,-0.09411140531301498
policy_11,response_audit,2,9.455204010009766,38.62762451171875,0.4627976417541504,0.03436076268553734,1.044983148574829,0.003367794444784522,0.8523157835006714,2.4928252696990967,6.473064422607422,0.48680466413497925,185.16493225097656,0.2049340009689331,0.3361210971188008,130856343.82936256,0.16404542348289625,-0.3286030985571763,-130856343.66531713,-0.17487694833721845,-0.8503256698620749,0.5575875639915466,1.0,5.633554511774719e-09,0.16404542326927185,-0.17005924880504608,-0.382182776927948,-0.0415521077811718
policy_11,response_audit,3,5.352973937988281,40.131568908691406,0.4642857313156128,0.045370008796453476,1.0536177158355713,0.015194235369563103,0.9034624099731445,2.6011624336242676,6.772041320800781,0.5848337411880493,245.9898681640625,0.2059030681848526,0.36151847869367093,113584419.5072172,0.08953727767736738,-0.28726388260771435,-113584419.41767992,-4.10623809952296,-2.4666590438688436,0.7712345719337463,1.0,5.726755958335161e-09,0.08953727781772614,-0.15723435580730438,-0.334277480840683,-0.10738883912563324
